product_code,product_name,series_code,series_name,category_level1_code,category_level2_code,category_level3_code,delivery_mode_codes,sale_status_code,target_learning_goal_codes,target_learner_identity_codes,target_grade_codes,sale_price,original_price
computer_science_core,计算机科学能力线,general_purpose_programming_foundation,通用编程入门班,computer_science,programming_languages,general_purpose_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""job_hunting"", ""career_switch""]","[""in_school_student"", ""working_professional"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",2280,3280
computer_science_core,计算机科学能力线,general_purpose_programming_practice,通用编程项目班,computer_science,programming_languages,general_purpose_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""job_hunting"", ""career_switch""]","[""in_school_student"", ""working_professional"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",3280,4680
computer_science_core,计算机科学能力线,general_purpose_programming_advanced,通用编程就业强化班,computer_science,programming_languages,general_purpose_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""job_hunting"", ""career_switch""]","[""in_school_student"", ""working_professional"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",4280,5980
computer_science_core,计算机科学能力线,systems_programming_foundation,系统级编程基础班,computer_science,programming_languages,systems_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""job_seeker""]","[""undergraduate"", ""master""]",2880,3980
computer_science_core,计算机科学能力线,systems_programming_practice,系统编程实战班,computer_science,programming_languages,systems_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""job_seeker""]","[""undergraduate"", ""master""]",3980,5580
computer_science_core,计算机科学能力线,systems_programming_advanced,Linux系统开发进阶班,computer_science,programming_languages,systems_programming,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""job_seeker""]","[""undergraduate"", ""master""]",5280,7380
computer_science_core,计算机科学能力线,scripting_and_automation_foundation,脚本自动化入门班,computer_science,programming_languages,scripting_and_automation,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""freelancer"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",2380,3380
computer_science_core,计算机科学能力线,scripting_and_automation_practice,办公与运维自动化班,computer_science,programming_languages,scripting_and_automation,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""freelancer"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",3180,4580
computer_science_core,计算机科学能力线,scripting_and_automation_advanced,自动化工具开发班,computer_science,programming_languages,scripting_and_automation,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""promotion"", ""career_switch""]","[""working_professional"", ""freelancer"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",3980,5580
computer_science_core,计算机科学能力线,web_programming_languages_foundation,Web开发语言入门班,computer_science,programming_languages,web_programming_languages,"[""online_live"", ""online_recorded""]",on_sale,"[""skill_improvement"", ""job_hunting"", ""career_switch""]","[""in_school_student"", ""working_professional"", ""job_seeker""]","[""junior_college"", ""undergraduate""]",2180,3180
